,name,amenity,lat,lon,neighbourhood
260,Fraser Valley Juice,fast_food,49.2726318,-123.1353692,Fairview
261,Pizza Pzazz,fast_food,49.2726607,-123.1353169,Fairview
263,Princeton Pub,pub,49.2849397,-123.0649633,Grandview-Woodland
270,Bay Sushi Cafe,fast_food,49.2821283,-123.1164589,Downtown
271,Kung Fu Noodle,fast_food,49.2820949,-123.1165023,Downtown
272,Pokérrito,fast_food,49.2826167,-123.1151176,Downtown
273,Dae Ji,fast_food,49.282708,-123.1147514,Downtown
274,Sushi Home,fast_food,49.2826109,-123.1146226,Downtown
275,Big Bowl Rice,fast_food,49.2825668,-123.1145555,Downtown
276,Pourhouse,pub,49.2841314,-123.1083829,Downtown
284,Cecil Bar,bar,49.2756868,-123.1281101,Downtown
285,Soho,bar,49.2741305,-123.1241126,Downtown
286,Yaletown Distilling Company,bar,49.2753903,-123.1216407,Downtown
287,Living Produce Aisle,fast_food,49.2750527,-123.1221518,Downtown
288,The Distillery Bar,bar,49.2752508,-123.1212681,Downtown
289,Mister,fast_food,49.2751119,-123.1214624,Downtown
293,New Amsterdam Cafe,cafe,49.2829831,-123.1098733,Downtown
294,The Cascade,bar,49.2616715,-123.1007497,Mount Pleasant
295,Bean Around The World,cafe,49.2624382,-123.1007191,Mount Pleasant
296,Pizza 604,fast_food,49.263303,-123.1007167,Mount Pleasant
297,Kafka's Coffee and Tea,cafe,49.2624451,-123.1012839,Mount Pleasant
298,Sunny Spot,cafe,49.2622376,-123.1012945,Mount Pleasant
299,Yum Sweet Shop,ice_cream,49.2481556,-123.1008994,Riley Park
312,McDonald's,fast_food,49.2634479,-123.1380669,Fairview
333,A&W,fast_food,49.2267483,-123.128868,Oakridge
335,Gringo,bar,49.2832515,-123.105379,Downtown
336,Harvey's,fast_food,49.2796709,-123.1221195,Downtown
337,Subway,fast_food,49.2332678,-123.1012746,Riley Park
338,Tim Hortons,cafe,49.2347512,-123.1582643,Arbutus-Ridge
339,Starbucks,cafe,49.2729377,-123.0997917,Strathcona
340,A&W,fast_food,49.2739585,-123.0980509,Strathcona
342,White Spot Triple O's,fast_food,49.2730825,-123.1039764,Downtown
343,Starbucks,cafe,49.26437,-123.1674354,Kitsilano
344,Urban Sushi,fast_food,49.2838013,-123.1158299,Downtown
345,Caffe Artigiano,cafe,49.283684,-123.1159815,Downtown
