,name,amenity,lat,lon,neighbourhood
102,Celebrities,nightclub,49.2793851,-123.1299155,West End
103,Railway Club,bar,49.2829389,-123.115118,Downtown
105,Yale Hotel,pub,49.2759064,-123.1278016,Downtown
107,PressBox Pub,pub,49.2813339,-123.0454428,Hastings-Sunrise
108,Luppolo Tasting Room,bar,49.2769121,-123.0805868,Strathcona
111,Uva,bar,49.279512,-123.1204403,Downtown
112,Big Rock Urban Eatery,pub,49.267356,-123.1110469,Mount Pleasant
113,Fayuca,bar,49.2767582,-123.1201461,Downtown
116,The Portside Pub,pub,49.2835624,-123.1038811,Downtown
117,Tap & Barrel,pub,49.2717552,-123.1060666,Mount Pleasant
123,The Belmont,bar,49.2790584,-123.1230287,Downtown
124,Aura,nightclub,49.2772912,-123.1257259,Downtown
125,Corduroy,pub,49.2725892,-123.1487921,Kitsilano
126,Steamworks,pub,49.2848692,-123.1109875,Downtown
128,Local Public Eatery,pub,49.272446,-123.1553117,Kitsilano
129,The Ellis,pub,49.2716021,-123.155352,Kitsilano
130,Bottleneck,nightclub,49.2805575,-123.1207988,Downtown
134,Donnelan's,pub,49.2782909,-123.1241919,Downtown
136,The Magnet,pub,49.2824055,-123.1111441,Downtown
137,Sylvia's Bar,bar,49.2885782,-123.1426441,West End
138,Fringe,pub,49.26404,-123.174703,Kitsilano
139,Yagger's Kits,pub,49.2639533,-123.1696182,Kitsilano
140,Relish,pub,49.2802411,-123.1250614,Downtown
141,Library Square Public House,pub,49.2800328,-123.1146849,Downtown
142,Colony,bar,49.2590227,-123.1008347,Mount Pleasant
143,Chewies,pub,49.270944,-123.1552107,Kitsilano
145,The Regal Beagle,pub,49.2640449,-123.1567706,Kitsilano
